store_name,overall_score,one_line_summary,main_strengths,main_weaknesses,caution_points,recommended_menus,menu_reactions,recent_trend,recommended_customer,not_recommended_customer,final_summary
먹심 스타필드수원점,5.0,"고기 요리의 뛰어난 맛과 질, 친절한 서비스로 인기 있는 지역 맛집.","['고기 요리의 뛰어난 맛과 질', '친절한 서비스', '푸짐한 양', '다양한 반찬']",[],[],"[{'menu': '제주흑돼지', 'reason': '육즙과 부드러움이 뛰어나며 많은 긍정적인 리뷰가 있음.', 'confidence': 0.983}, {'menu': '삼겹살', 'reason': '고기 맛이 우수하고 재방문 의사가 높은 메뉴.', 'confidence': 0.986}, {'menu': '솥밥', 'reason': '고기와 함께 시켜야 하는 인기 메뉴로, 많은 리뷰에서 추천됨.', 'confidence': 0.98}, {'menu': '김치찌개', 'reason': '고기와 잘 어울리는 반찬으로, 맛이 뛰어나다는 언급이 많음.', 'confidence': 0.988}]","[{'menu': '제주흑돼지', 'positive_reaction': '육즙 살아있고 쫄깃함이 뛰어나다는 리뷰가 많음.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}, {'menu': '삼겹살', 'positive_reaction': '겉은 바삭하고 안은 육즙이 살아있다는 긍정적인 피드백.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}, {'menu': '솥밥', 'positive_reaction': '고기와 함께 시켜야 한다는 추천이 많음.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}, {'menu': '김치찌개', 'positive_reaction': '기본 반찬으로서 맛있다는 언급이 많음.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}]",최근 리뷰에서도 고기 맛과 서비스에 대한 긍정적인 반응이 지속적으로 나타남.,"고기 요리를 좋아하는 모든 고객, 가족 모임이나 친구들과의 회식에 적합.",특별한 고기 요리를 원하지 않는 고객.,"먹심 스타필드수원점은 고기 요리의 맛과 질, 친절한 서비스로 인해 높은 평가를 받고 있는 지역 맛집입니다. 다양한 메뉴와 긍정적인 고객 경험이 강조되며, 재방문 의사가 높은 곳입니다."
뚜레쥬르 수원정자점,4.0,친절한 서비스와 맛있는 빵으로 사랑받는 뚜레쥬르 수원정자점.,"['친절한 서비스', '맛있는 다양한 빵', '청결한 매장', '건강한 메뉴']",['직원 태도에 대한 불만'],['일부 직원의 서비스 품질 문제'],"[{'menu': '하루견과 곡물브레드', 'reason': '맛있고 건강한 옵션으로 추천됨.', 'confidence': 0.98}, {'menu': '샌드위치', 'reason': '건강한 샌드위치로 긍정적인 반응이 많음.', 'confidence': 0.97}, {'menu': '케이크', 'reason': '특별한 날에 적합한 맛있는 선택.', 'confidence': 0.87}]","[{'menu': '빵', 'positive_reaction': '맛있고 다양한 종류로 만족도가 높음.', 'negative_or_caution_reaction': '일부 직원의 태도에 대한 불만이 존재.'}, {'menu': '샌드위치', 'positive_reaction': '건강한 옵션으로 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 문제 없음.'}]",최근 리뷰에서 긍정적인 반응이 지속적으로 나타나고 있음.,맛있는 빵과 친절한 서비스를 원하는 고객.,서비스 품질에 민감한 고객.,"뚜레쥬르 수원정자점은 친절한 서비스와 맛있는 빵으로 많은 고객에게 사랑받고 있으며, 건강한 메뉴 옵션도 제공하고 있습니다. 그러나 일부 직원의 서비스 태도에 대한 불만이 존재하므로 주의가 필요합니다."
이디야커피 일월수목원점,5.0,가성비와 쾌적한 분위기로 인기 있는 카페,"['가성비 좋은 가격', '쾌적한 분위기', '친절한 서비스', '아름다운 뷰', '조용한 공부 공간']",[],[],"[{'menu': '카페라떼', 'reason': '부드럽고 고소한 맛으로 인기', 'confidence': 0.95}, {'menu': '아이스 민트초콜릿', 'reason': '진한 민트 맛으로 여름에 적합', 'confidence': 0.95}, {'menu': '아이스 아메리카노', 'reason': '깔끔한 맛으로 갈증 해소에 좋음', 'confidence': 0.95}]",[],"긍정적인 리뷰가 지속적으로 증가하고 있으며, 고객들이 자주 방문하고 있음.",조용한 환경에서 공부하거나 대화하기 원하는 고객,시끄러운 분위기를 선호하는 고객,"이디야커피 일월수목원점은 가성비와 쾌적한 분위기로 많은 고객들에게 사랑받고 있으며, 조용한 공부 공간으로도 적합한 카페입니다."
한솥도시락 수원성대점,4.0,혼밥에 적합한 친절한 서비스와 맛있는 음식이 특징인 도시락 전문점.,"['혼밥에 적합한 테이블 구성', '친절한 직원 서비스', '맛있는 음식', '가성비 좋은 메뉴', '청결한 매장']","['비위생적인 환경', '불량한 식기류', '찌개류의 품질 문제']","['식기류의 위생 상태', '찌개류는 피하는 것이 좋음']","[{'menu': '숯불직화구이덮밥', 'reason': '고기 양이 많고 부드러우며 숯불구운 맛이 좋음.', 'confidence': 0.988}, {'menu': '김볶', 'reason': '가볍게 잘 먹을 수 있는 메뉴.', 'confidence': 0.824}, {'menu': '빅치마', 'reason': '가성비가 좋고 맛있는 음식.', 'confidence': 0.75}]","[{'menu': '숯불직화구이덮밥', 'positive_reaction': '고기 양이 많고 부드럽고 맛있음.', 'negative_or_caution_reaction': '특별한 단점 없음.'}, {'menu': '김볶', 'positive_reaction': '가볍게 잘 먹을 수 있음.', 'negative_or_caution_reaction': '양이 적을 수 있음.'}, {'menu': '찌개류', 'positive_reaction': '없음.', 'negative_or_caution_reaction': '비위생적이며 품질이 좋지 않음.'}]","최근 리뷰에서 긍정적인 경험이 많으며, 특히 친절한 서비스와 청결함이 강조됨.","혼자 식사하는 고객, 가성비를 중시하는 고객.","위생에 민감한 고객, 찌개류를 선호하는 고객.","한솥도시락 수원성대점은 혼밥에 적합한 친절한 서비스와 맛있는 음식을 제공하는 곳으로, 가성비가 뛰어나지만 위생 문제에 주의해야 합니다."
봉수육,4.0,수육과 나베가 뛰어난 맛을 자랑하는 인기 맛집.,"['수육의 뛰어난 맛', '나베의 국물 맛', '웨이팅이 있을 정도로 인기']","['가격 대비 음식 양 감소', '음식 품질 및 청결 문제']","['고기의 냄새 문제', '화장실 청결 상태']","[{'menu': '수육', 'reason': '부드럽고 맛있다는 리뷰가 많음.', 'confidence': 0.95}, {'menu': '수육나베', 'reason': '국물 맛이 뛰어나다는 긍정적인 반응.', 'confidence': 0.9}, {'menu': '고추말이튀김', 'reason': '안주로 잘 어울린다는 언급.', 'confidence': 0.85}]","[{'menu': '수육', 'positive_reaction': '여기 수육 미쳤습니다!', 'negative_or_caution_reaction': '고기에서 냄새난다고'}, {'menu': '수육나베', 'positive_reaction': '수육나베는 여전히 맛있고요.', 'negative_or_caution_reaction': '보쌈인데 전골?'}, {'menu': '고추말이튀김', 'positive_reaction': '고소한 고추말이 튀김을 먹어보니 금방 청주 한 병을 마무리 하게 되었습니다.', 'negative_or_caution_reaction': ''}]","최근 리뷰에서 긍정적인 반응이 많으며, 웨이팅이 줄어들어 이용하기 편하다는 언급이 있음.",수육과 나베를 좋아하는 고객,가격 대비 양을 중요시하는 고객,"봉수육은 수육과 나베의 맛이 뛰어나며, 많은 고객들이 재방문 의사를 보이고 있지만, 가격과 양에 대한 불만이 존재하므로 주의가 필요하다."
지장수본가전주콩나물국밥 2호점,4.0,가성비 좋은 맛과 친절한 서비스가 돋보이는 콩나물국밥 전문점.,"['맛있는 음식', '가성비', '친절한 서비스', '메뉴 다양성']",['서비스 문제'],"['주문 처리 속도', '직원 태도']","[{'menu': '콩나물 국밥', 'reason': '고객들이 자주 찾고 맛있다고 평가함.', 'confidence': 0.95}, {'menu': '황태 해장국', 'reason': '특히 인기가 많고 맛있다는 리뷰가 다수.', 'confidence': 0.95}, {'menu': '칼국수', 'reason': '가성비와 맛이 뛰어나다고 평가됨.', 'confidence': 0.9}]","[{'menu': '콩나물국밥', 'positive_reaction': '저렴하고 맛있다는 긍정적인 반응 다수.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}, {'menu': '순두부찌개', 'positive_reaction': '맛있다는 긍정적인 언급.', 'negative_or_caution_reaction': '부정적 반응 없음.'}, {'menu': '돈가스', 'positive_reaction': '메뉴 다양성에서 긍정적으로 언급됨.', 'negative_or_caution_reaction': '부정적 반응 없음.'}]","최근 리뷰에서 긍정적인 반응이 지속적으로 나타나고 있으며, 가성비와 맛에 대한 언급이 많음.","가성비 좋은 맛집을 찾는 고객, 가족 단위 방문객.",서비스 품질에 민감한 고객.,"지장수본가전주콩나물국밥 2호점은 맛과 가성비가 뛰어난 음식점으로, 친절한 서비스가 고객들에게 긍정적인 경험을 제공합니다. 그러나 서비스 품질에 대한 불만이 일부 존재하므로 주의가 필요합니다."
자명문,4.0,넓고 편안한 카페에서 맛있는 음료와 디저트를 즐길 수 있는 곳.,"['넓고 편안한 공간', '맛있는 커피와 디저트', '친절한 서비스', '조용한 분위기']",[],['영업시간 불일치 문제'],"[{'menu': '아인슈페너', 'reason': '높은 만족도와 긍정적인 평가', 'confidence': 0.89}, {'menu': '시그니처 라떼', 'reason': '부드럽고 무난하게 마시기 좋은 메뉴', 'confidence': 0.77}, {'menu': '디저트', 'reason': '맛있고 다양한 선택지', 'confidence': 0.85}]","[{'menu': '아인슈페너', 'positive_reaction': '가격과 맛에 대한 높은 만족도', 'negative_or_caution_reaction': ''}, {'menu': '시그니처 라떼', 'positive_reaction': '부드럽고 맛있음', 'negative_or_caution_reaction': '컵 위의 우유거품이 보기 좋지 않음'}, {'menu': '디저트', 'positive_reaction': '맛있고 다양한 선택지', 'negative_or_caution_reaction': '휘낭시에의 식감 아쉬움'}]","긍정적인 리뷰가 많고, 카페의 분위기와 음료에 대한 만족도가 높음.",조용하고 편안한 공간에서 음료와 디저트를 즐기고 싶은 고객,영업시간이 정확하지 않은 점을 중요시하는 고객,"자명문은 넓고 편안한 카페 분위기에서 맛있는 음료와 디저트를 제공하며, 특히 아인슈페너와 시그니처 라떼가 인기가 높습니다. 그러나 영업시간에 대한 불만이 있으므로 방문 전에 확인이 필요합니다."
보영만두 성대직영점,5.0,빠르고 맛있는 음식과 친절한 서비스가 돋보이는 만두 전문점.,"['빠른 음식 제공', '맛있는 메뉴', '친절한 서비스', '청결한 매장']",[],[],"[{'menu': '쫄면', 'reason': '리뷰에서 쫄면의 맛과 조합이 긍정적으로 언급됨.', 'confidence': 0.95}, {'menu': '군만두', 'reason': '군만두와 쫄면의 조합이 인기 있으며 맛있다는 평가가 많음.', 'confidence': 0.95}, {'menu': '냉면', 'reason': '냉면의 신선함과 맛이 강조되며, 시원한 식감이 좋다는 리뷰가 많음.', 'confidence': 0.95}, {'menu': '만두국', 'reason': '만두국도 맛있다는 긍정적인 피드백이 있음.', 'confidence': 0.9}, {'menu': '김밥', 'reason': '김밥도 맛있게 잘 먹었다는 리뷰가 있음.', 'confidence': 0.85}]","[{'menu': '쫄면', 'positive_reaction': '맛있고 소화도 잘 되는 점이 긍정적으로 언급됨.', 'negative_or_caution_reaction': ''}, {'menu': '군만두', 'positive_reaction': '쫄면과 함께 먹으면 맛있다는 평가가 많음.', 'negative_or_caution_reaction': ''}, {'menu': '냉면', 'positive_reaction': '신선하고 시원하다는 긍정적인 피드백이 많음.', 'negative_or_caution_reaction': ''}, {'menu': '만두국', 'positive_reaction': '맛있다는 평가가 있으며, 소화가 잘 된다는 언급이 있음.', 'negative_or_caution_reaction': ''}, {'menu': '김밥', 'positive_reaction': '맛있게 잘 먹었다는 리뷰가 있음.', 'negative_or_caution_reaction': ''}]","최근 리뷰에서도 음식의 맛과 빠른 제공, 친절한 서비스에 대한 긍정적인 피드백이 지속적으로 이어지고 있음.","빠르고 맛있는 음식을 선호하는 고객, 친절한 서비스를 중시하는 고객.","특별한 메뉴를 찾는 고객, 느긋한 식사를 원하는 고객.","보영만두 성대직영점은 빠르고 맛있는 음식을 제공하며, 친절한 서비스와 청결한 매장으로 고객들에게 높은 만족도를 주고 있는 만두 전문점입니다."
해품짬 본점,5.0,"맛과 서비스가 뛰어난 중식 맛집으로, 특히 짬뽕과 탕수육이 인기입니다.","['음식의 맛', '푸짐한 양', '친절한 서비스', '청결한 환경', '다양한 메뉴']",[],[],"[{'menu': '고기짬뽕', 'reason': '고기가 풍부하고 국물이 진하며 맛이 뛰어남.', 'confidence': 0.95}, {'menu': '탕수육', 'reason': '겉바속촉의 완벽한 조화로 인기 메뉴.', 'confidence': 0.95}, {'menu': '쟁반짜장', 'reason': '해물이 풍부하고 양념이 맛있어 추천됨.', 'confidence': 0.95}]","[{'menu': '고기짬뽕', 'positive_reaction': '고기가 풍부하고 얼큰한 국물에 대한 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}, {'menu': '탕수육', 'positive_reaction': '겉바속촉의 식감과 맛에 대한 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}, {'menu': '쟁반짜장', 'positive_reaction': '해물이 풍부하고 맛있다는 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}]","최근 리뷰에서도 음식의 맛과 양, 서비스에 대한 긍정적인 언급이 지속적으로 이어지고 있음.",중식 요리를 좋아하는 모든 고객.,특별한 중식 요리를 선호하지 않는 고객.,"해품짬 본점은 뛰어난 맛과 서비스로 고객들에게 사랑받는 중식 맛집으로, 특히 고기짬뽕과 탕수육이 인기 메뉴입니다. 모든 메뉴에서 긍정적인 반응이 많아 재방문 의사가 높은 곳입니다."
BHC치킨 성대푸르지오점,4.0,"맛과 서비스가 우수한 치킨 전문점이지만, 일부 고객 경험에 대한 불만이 존재합니다.","['맛있는 치킨', '친절한 서비스', '청결한 매장', '야외 테라스']","['일부 고객의 불만족 경험', '서비스 불친절 사례']","['음식 품질의 일관성 문제', '위생 문제에 대한 언급']","[{'menu': '후라이드 치킨', 'reason': '바삭하고 맛있다는 긍정적인 리뷰가 많음', 'confidence': 0.75}, {'menu': '양념치킨', 'reason': '갓 튀겨져 맛있다는 언급이 있음', 'confidence': 0.75}, {'menu': '샐러드바', 'reason': '신선한 재료와 다양한 선택지 제공', 'confidence': 0.7}]","[{'menu': '치킨', 'positive_reaction': '치킨이 맛있고 바삭하다는 긍정적인 반응이 많음', 'negative_or_caution_reaction': '일부 고객은 기름기가 많거나 탄맛이 난다고 언급'}, {'menu': '서비스', 'positive_reaction': '친절한 서비스에 대한 긍정적인 피드백', 'negative_or_caution_reaction': '일부 고객은 직원의 불친절을 경험'}]","최근 리뷰에서 긍정적인 반응이 많지만, 일부 부정적인 경험도 보고됨.","치킨을 좋아하고, 친절한 서비스를 원하는 고객",위생 문제나 서비스 불만에 민감한 고객,"BHC치킨 성대푸르지오점은 전반적으로 맛과 서비스가 우수한 치킨 전문점으로, 야외 테라스에서의 식사 경험이 긍정적으로 평가되고 있습니다. 그러나 일부 고객의 불만족 경험이 존재하므로, 주의가 필요합니다."
경기수산직판장,5.0,신선한 해산물과 맛있는 반찬으로 높은 만족도를 자랑하는 음식점입니다.,"['신선한 해산물', '맛있는 반찬과 돌솥밥', '친절한 서비스', '가성비']",[],[],"[{'menu': '방어', 'reason': '신선하고 맛있다는 리뷰가 많습니다.', 'confidence': 0.99}, {'menu': '돌솥밥', 'reason': '맛과 가성비가 뛰어나다는 언급이 있습니다.', 'confidence': 0.95}, {'menu': '반찬', 'reason': '다양성과 맛에 대한 긍정적인 피드백이 많습니다.', 'confidence': 0.95}]","[{'menu': '방어', 'positive_reaction': '신선하고 맛있다는 리뷰가 많음', 'negative_or_caution_reaction': '대기 시간이 길다는 언급이 있음'}, {'menu': '돌솥밥', 'positive_reaction': '맛과 가성비에 대한 긍정적인 피드백', 'negative_or_caution_reaction': '특별한 주의 사항 없음'}, {'menu': '반찬', 'positive_reaction': '다양성과 맛에 대한 긍정적인 언급', 'negative_or_caution_reaction': '특별한 주의 사항 없음'}]",최근 리뷰에서도 높은 만족도가 지속적으로 나타나고 있습니다.,신선한 해산물과 다양한 반찬을 즐기고 싶은 고객,빠른 서비스나 대기 시간을 싫어하는 고객,"경기수산직판장은 신선한 해산물과 맛있는 반찬으로 고객들에게 높은 만족도를 제공하며, 친절한 서비스와 가성비 또한 뛰어난 음식점입니다."
동대문엽기떡볶이 수원성대점,4.0,"맛있는 떡볶이와 친절한 서비스가 매력적인 곳이지만, 직원의 불친절한 태도에 대한 불만이 존재합니다.","['음식의 맛', '푸짐한 양', '직원 친절도']","['직원 불친절', '서비스 태도']",['직원 서비스 태도에 대한 불만'],"[{'menu': '떡볶이', 'reason': '엽떡의 특별한 맛과 인기가 높음', 'confidence': 0.727}, {'menu': '닭발', 'reason': '맛있고 양이 푸짐함', 'confidence': 0.683}]","[{'menu': '떡볶이', 'positive_reaction': '맛있고 인기가 높음', 'negative_or_caution_reaction': '서비스 불만이 존재'}, {'menu': '닭발', 'positive_reaction': '맛있고 양이 푸짐함', 'negative_or_caution_reaction': '직원 불친절에 대한 언급'}]","최근 리뷰에서 음식의 맛과 양에 대한 긍정적인 반응이 많지만, 직원의 불친절한 태도에 대한 불만도 증가하고 있음.",떡볶이와 닭발을 좋아하는 고객,친절한 서비스를 중시하는 고객,"동대문엽기떡볶이 수원성대점은 맛있는 떡볶이와 닭발로 많은 고객들에게 사랑받고 있지만, 직원의 서비스 태도에 대한 불만이 있어 주의가 필요합니다."
성대목장,4.0,한우 특수 부위와 친절한 서비스로 높은 만족도를 자랑하는 맛집.,"['한우 특수 부위의 뛰어난 맛', '친절한 서비스', '고기 질과 가성비']",['고기 양이 많아 다른 메뉴 선택이 어려움'],['두 사람이 함께 먹기에는 고기 양이 부담스러울 수 있음'],"[{'menu': '한우 특수 부위', 'reason': '고기의 뛰어난 맛과 품질', 'confidence': 0.95}, {'menu': '육회', 'reason': '신선하고 맛있다는 긍정적인 반응', 'confidence': 0.95}, {'menu': '비빔냉면', 'reason': '고기와 잘 어울리는 메뉴', 'confidence': 0.9}, {'menu': '우거지국', 'reason': '고기와의 조화로운 맛', 'confidence': 0.9}, {'menu': '암돼지 특수 부위 숯불구이', 'reason': '특별한 맛 경험', 'confidence': 0.9}]","[{'menu': '고기', 'positive_reaction': '고기가 질이 좋고 맛있어요', 'negative_or_caution_reaction': '고기 양이 많아 다른 음식을 즐기기 어려움'}, {'menu': '냉면', 'positive_reaction': '냉면 맛있어요', 'negative_or_caution_reaction': '고기 양 때문에 다른 메뉴를 즐기기 어려움'}, {'menu': '우거지국', 'positive_reaction': '서비스 우거지국 맛있어요', 'negative_or_caution_reaction': '오늘은 좀 짰어요'}]","고기와 서비스에 대한 긍정적인 반응이 지속적으로 이어지고 있으며, 재방문 의사가 높음.","고기 애호가, 가족 모임, 친구들과의 외식","적은 양의 음식을 선호하는 고객, 다양한 메뉴를 즐기고 싶은 고객","성대목장은 한우 특수 부위와 친절한 서비스로 고객들에게 높은 만족도를 주는 맛집입니다. 고기의 질과 맛, 그리고 가성비가 뛰어나지만, 고기 양이 많아 다른 메뉴를 즐기기 어려운 점은 주의해야 합니다."
장궁순대국 본점,3.0,"순대국의 맛과 가성비는 좋지만, 서비스와 음식 품질에 대한 불만이 존재하는 음식점.","['순대국의 맛과 양이 좋음', '가성비가 뛰어남', '친절한 서비스']","['주문 처리 지연', '불친절한 서비스', '음식 품질 저하']","['주문 후 음식이 지연될 수 있음', '고기 품질과 김치 맛에 대한 불만이 있음']","[{'menu': '순대국', 'reason': '맛과 양이 뛰어나고 가성비가 좋음', 'confidence': 0.664}, {'menu': '막창순대', 'reason': '국물 맛이 좋고 추천받는 메뉴', 'confidence': 0.99}]","[{'menu': '순대국', 'positive_reaction': '맛있고 양이 많음', 'negative_or_caution_reaction': '고기 품질 저하에 대한 불만'}, {'menu': '수육', 'positive_reaction': '비린내가 없고 맛있음', 'negative_or_caution_reaction': '고기 품질 문제로 비추천'}]",최근 리뷰에서 서비스와 음식 품질에 대한 불만이 증가하고 있음.,순대국을 좋아하고 가성비를 중시하는 고객,신속한 서비스와 높은 음식 품질을 원하는 고객,"장궁순대국 본점은 순대국의 맛과 가성비가 뛰어나지만, 서비스와 음식 품질에 대한 불만이 있어 주의가 필요하다."
상록회관 연탄구이 성균관대역점,5.0,"고기와 다양한 메뉴, 친절한 서비스로 가성비 좋은 맛집.","['맛있는 고기', '다양한 메뉴', '친절한 서비스', '가성비 우수', '쾌적한 분위기']",[],[],"[{'menu': '고기', 'reason': '고기의 맛과 질이 뛰어나며, 고객들의 재방문 의사가 높음.', 'confidence': 0.979}, {'menu': '치즈가리비', 'reason': '고기와 함께 즐기기 좋은 인기 메뉴로, 맛이 뛰어남.', 'confidence': 0.971}, {'menu': '된장찌개', 'reason': '고기와 잘 어울리며, 많은 리뷰에서 맛이 좋다고 언급됨.', 'confidence': 0.991}, {'menu': '비빔밥', 'reason': '다양한 메뉴 중 하나로, 회식하기에 적합함.', 'confidence': 0.965}, {'menu': '껍데기', 'reason': '가성비 좋은 고기와 함께 즐길 수 있는 메뉴로, 생일 이벤트에 적합.', 'confidence': 0.986}]","[{'menu': '고기', 'positive_reaction': '고기가 냄새 안나고 너무 맛있어요.', 'negative_or_caution_reaction': ''}, {'menu': '치즈가리비', 'positive_reaction': '고기랑 치즈가리비가 굿이에요.', 'negative_or_caution_reaction': ''}, {'menu': '된장찌개', 'positive_reaction': '된장찌개가 너무 맛있어서 밥이 술술 들어가는.', 'negative_or_caution_reaction': ''}, {'menu': '비빔밥', 'positive_reaction': '메뉴도 다양해서 회식하기에 좋은 장소입니다.', 'negative_or_caution_reaction': ''}, {'menu': '껍데기', 'positive_reaction': '생일 이벤트로 껍데기도 먹었어요.', 'negative_or_caution_reaction': ''}]","최근 리뷰에서 고기와 서비스에 대한 긍정적인 반응이 지속적으로 나타나고 있으며, 재방문 의사가 높음.","가성비 좋은 맛집을 찾는 고객, 다양한 메뉴를 즐기고 싶은 고객.","고급 레스토랑을 선호하는 고객, 특정 메뉴에 대한 기호가 있는 고객.","상록회관 연탄구이 성균관대역점은 맛있는 고기와 다양한 메뉴, 친절한 서비스로 고객들에게 높은 만족도를 제공하는 가성비 좋은 맛집입니다. 재방문 의사가 높은 고객들이 많아, 회식이나 가족 모임에 적합한 장소입니다."
다움 베이커리,5.0,리모델링 후 맛있는 빵과 쾌적한 공간으로 고객들에게 큰 사랑을 받고 있는 베이커리.,"['맛있는 다양한 빵 종류', '넓고 쾌적한 매장 분위기', '맛있는 커피', '높은 재방문 의사']",[],[],"[{'menu': '모닝빵', 'reason': '고객들이 맛있다고 극찬하며 자주 찾는 메뉴.', 'confidence': 0.9887337684631348}, {'menu': '초코바게트', 'reason': '초코 좋아하는 고객들에게 추천되는 인기 메뉴.', 'confidence': 0.9802808165550232}, {'menu': '버터떡', 'reason': '최근 유행하는 메뉴로, 고객들이 만족하는 품질.', 'confidence': 0.984708309173584}, {'menu': '치킨치아바타', 'reason': '다양한 빵 종류 중 하나로 고객들의 긍정적인 반응.', 'confidence': 0.9746279746294022}, {'menu': '쌀소금빵', 'reason': '맛과 품질에 대한 긍정적인 언급이 많음.', 'confidence': 0.9746279746294022}]","[{'menu': '모닝빵', 'positive_reaction': '맛있어요', 'negative_or_caution_reaction': ''}, {'menu': '초코바게트', 'positive_reaction': '감동받아서 쟁여왔답니다', 'negative_or_caution_reaction': ''}, {'menu': '버터떡', 'positive_reaction': '여기가 1등입니다!', 'negative_or_caution_reaction': ''}, {'menu': '치킨치아바타', 'positive_reaction': '맛있어요', 'negative_or_caution_reaction': ''}, {'menu': '쌀소금빵', 'positive_reaction': '맛있어요', 'negative_or_caution_reaction': ''}]","리모델링 후 고객들의 긍정적인 반응이 증가하고 있으며, 다양한 메뉴에 대한 만족도가 높아지고 있음.",맛있는 빵과 쾌적한 공간에서 힐링을 원하는 고객.,특별한 부정적인 경험을 원하는 고객.,"다움 베이커리는 리모델링을 통해 더욱 쾌적한 환경과 맛있는 빵으로 고객들에게 큰 사랑을 받고 있으며, 높은 재방문 의사를 보이는 곳입니다."
뚜레쥬르 수원천천푸르지오점,5.0,"친절한 서비스와 맛있는 빵, 디저트로 고객들에게 사랑받는 음식점입니다.","['친절한 직원', '맛있는 빵과 디저트', '할인 혜택']",[],[],"[{'menu': '연유빵', 'reason': '부드럽고 맛있다는 리뷰가 많습니다.', 'confidence': 0.99}, {'menu': '에그튜나 샌드위치', 'reason': '맛과 신선함에 대한 긍정적인 언급이 있습니다.', 'confidence': 0.99}, {'menu': '롤케이크', 'reason': '할인가로 맛있게 먹었다는 리뷰가 있습니다.', 'confidence': 0.99}]","[{'menu': '빵', 'positive_reaction': '맛있고 부드럽다는 긍정적인 반응이 많음.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}, {'menu': '샌드위치', 'positive_reaction': '신선한 재료와 다양한 종류에 대한 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}]",최근 리뷰에서도 지속적으로 긍정적인 반응이 이어지고 있습니다.,맛있는 빵과 친절한 서비스를 원하는 고객,부정적인 경험을 원하는 고객,"뚜레쥬르 수원천천푸르지오점은 고객들에게 친절한 서비스와 맛있는 빵, 디저트를 제공하며, 할인 혜택으로 더욱 매력적인 음식점입니다. 모든 리뷰가 긍정적이며, 고객들의 만족도가 매우 높습니다."
대성장,4.0,전통적인 맛의 간짜장과 탕수육이 인기인 가성비 좋은 중식당.,"['간짜장의 뛰어난 맛', '가성비 좋은 메뉴', '전통적인 분위기']","['대기 시간이 길 수 있음', '혼합 좌석으로 인한 불편함']","['탕수육의 맛이 일관되지 않을 수 있음', '웨이팅이 발생할 수 있음']","[{'menu': '간짜장', 'reason': '리뷰에서 가장 높은 만족도를 보이며, 맛과 양 모두 긍정적인 평가를 받고 있음.', 'confidence': 0.85}, {'menu': '탕수육', 'reason': '전통적인 스타일의 탕수육이 긍정적인 반응을 얻고 있으나, 일관성에 주의 필요.', 'confidence': 0.75}, {'menu': '짬뽕', 'reason': '옛날식 짬뽕으로 긍정적인 평가가 있으며, 해물의 풍미가 좋음.', 'confidence': 0.7}]","[{'menu': '간짜장', 'positive_reaction': '리뷰에서 간짜장이 맛있다는 표현이 반복적으로 등장.', 'negative_or_caution_reaction': '일부 리뷰에서 양이 많지 않다는 언급이 있음.'}, {'menu': '탕수육', 'positive_reaction': '바삭한 식감과 전통적인 소스에 대한 긍정적인 반응.', 'negative_or_caution_reaction': '일부 고객은 소스의 맛이 불만족스러웠다고 언급.'}, {'menu': '짬뽕', 'positive_reaction': '옛날식 짬뽕으로 긍정적인 평가.', 'negative_or_caution_reaction': '일부 고객은 짬뽕의 자극적인 맛이 아쉬웠다고 언급.'}]","최근 리뷰에서 간짜장과 탕수육에 대한 긍정적인 반응이 지속적으로 나타나고 있으며, 가성비에 대한 언급도 많음.",전통적인 중국 음식을 좋아하는 고객.,대기 시간을 싫어하는 고객.,"대성장은 전통적인 맛의 간짜장과 탕수육으로 많은 고객들에게 사랑받고 있는 중식당입니다. 가성비가 뛰어나지만, 대기 시간이 길어질 수 있으니 주의가 필요합니다."
